Object_Class,Accuracy_Score
bottle,31.56
bottle,45.65
bottle,26.29
bottle,69.49
can,48.18
can,30.13
bottle,45.38
bottle,47.79
can,44.21
can,35.48
can,70.56
can,65.14
bottle,39.24
can,62.54
can,44.74
bottle,61.0
bottle,36.13
bottle,43.42
bottle,36.12
bottle,27.65
box,63.4
box,40.99
box,33.15
bottle,28.99
can,28.27
box,34.51
box,25.13
box,29.88
box,56.41
box,31.88
box,37.5
box,28.8
box,79.86
can,47.23
can,60.3
bottle,33.67
can,47.83
bottle,41.01
can,33.81
bottle,27.03
box,82.27
bottle,42.04
box,79.77
box,67.01
box,86.9
box,84.05
box,82.07
box,53.06
bottle,42.8
box,83.37
box,72.01
bottle,29.58
bottle,42.22
box,86.46
bottle,67.61
box,79.52
bottle,37.8
box,69.05
bottle,54.97
box,62.15
bottle,50.37
box,89.41
bottle,55.62
box,44.75
bottle,31.89
box,74.89
bottle,34.57
bottle,54.94
box,28.05
bottle,55.24
box,87.79
bottle,64.56
box,26.92
bottle,71.27
bottle,37.03
bottle,32.07
bottle,31.91
bottle,47.09
bottle,26.79
bottle,33.69
box,25.06
bottle,37.59
bottle,40.47
box,27.7
box,25.33
box,31.89
box,49.11
box,38.84
box,44.8
box,40.49
box,34.75
box,45.62
box,55.69
box,43.31
box,30.68
box,26.17
box,49.39
box,29.34
can,31.03
bottle,53.95
bottle,27.71
